Vivado Simulator 2018.3
Time resolution is 1 ps
simtime = 1458, datain =01101101, dataout =01010000 
simtime = 1462, datain =01101110, dataout =00111100 
simtime = 1466, datain =01101111, dataout =10011111 
simtime = 1470, datain =01110000, dataout =10101000 
simtime = 1474, datain =01110001, dataout =01010001 
simtime = 1478, datain =01110010, dataout =10100011 
simtime = 1482, datain =01110011, dataout =01000000 
simtime = 1486, datain =01110100, dataout =10001111 
simtime = 1490, datain =01110101, dataout =10010010 
simtime = 1494, datain =01110110, dataout =10011101 
simtime = 1498, datain =01110111, dataout =00111000 
simtime = 1502, datain =01111000, dataout =11110101 
simtime = 1506, datain =01111001, dataout =10111100 
simtime = 1510, datain =01111010, dataout =10110110 
simtime = 1514, datain =01111011, dataout =11011010 
simtime = 1518, datain =01111100, dataout =00100001 
simtime = 1522, datain =01111101, dataout =00010000 
simtime = 1526, datain =01111110, dataout =11111111 
simtime = 1530, datain =01111111, dataout =11110011 
simtime = 1534, datain =10000000, dataout =11010010 
simtime = 1538, datain =10000001, dataout =11001101 
simtime = 1542, datain =10000010, dataout =00001100 
simtime = 1546, datain =10000011, dataout =00010011 
simtime = 1550, datain =10000100, dataout =11101100 
simtime = 1554, datain =10000101, dataout =01011111 
simtime = 1558, datain =10000110, dataout =10010111 
simtime = 1562, datain =10000111, dataout =01000100 
simtime = 1566, datain =10001000, dataout =00010111 
simtime = 1570, datain =10001001, dataout =11000100 
simtime = 1574, datain =10001010, dataout =10100111 
simtime = 1578, datain =10001011, dataout =01111110 
simtime = 1582, datain =10001100, dataout =00111101 
simtime = 1586, datain =10001101, dataout =01100100 
simtime = 1590, datain =10001110, dataout =01011101 
simtime = 1594, datain =10001111, dataout =00011001 
simtime = 1598, datain =10010000, dataout =01110011 
simtime = 1602, datain =10010001, dataout =01100000 
simtime = 1606, datain =10010010, dataout =10000001 
simtime = 1610, datain =10010011, dataout =01001111 
simtime = 1614, datain =10010100, dataout =11011100 
simtime = 1618, datain =10010101, dataout =00100010 
simtime = 1622, datain =10010110, dataout =00101010 
simtime = 1626, datain =10010111, dataout =10010000 
simtime = 1630, datain =10011000, dataout =10001000 
simtime = 1634, datain =10011001, dataout =01000110 
simtime = 1638, datain =10011010, dataout =11101110 
simtime = 1642, datain =10011011, dataout =10111000 
simtime = 1646, datain =10011100, dataout =00010100 
simtime = 1650, datain =10011101, dataout =11011110 
simtime = 1654, datain =10011110, dataout =01011110 
simtime = 1658, datain =10011111, dataout =00001011 
simtime = 1662, datain =10100000, dataout =11011011 
simtime = 1666, datain =10100001, dataout =11100000 
simtime = 1670, datain =10100010, dataout =00110010 
simtime = 1674, datain =10100011, dataout =00111010 
simtime = 1678, datain =10100100, dataout =00001010 
simtime = 1682, datain =10100101, dataout =01001001 
simtime = 1686, datain =10100110, dataout =00000110 
simtime = 1690, datain =10100111, dataout =00100100 
simtime = 1694, datain =10101000, dataout =01011100 
simtime = 1698, datain =10101001, dataout =11000010 
simtime = 1702, datain =10101010, dataout =11010011 
simtime = 1706, datain =10101011, dataout =10101100 
simtime = 1710, datain =10101100, dataout =01100010 
simtime = 1714, datain =10101101, dataout =10010001 
simtime = 1718, datain =10101110, dataout =10010101 
simtime = 1722, datain =10101111, dataout =11100100 
simtime = 1726, datain =10110000, dataout =01111001 
simtime = 1730, datain =10110001, dataout =11100111 
simtime = 1734, datain =10110010, dataout =11001000 
simtime = 1738, datain =10110011, dataout =00110111 
simtime = 1742, datain =10110100, dataout =01101101 
simtime = 1746, datain =10110101, dataout =10001101 
simtime = 1750, datain =10110110, dataout =11010101 
simtime = 1754, datain =10110111, dataout =01001110 
simtime = 1758, datain =10111000, dataout =10101001 
simtime = 1762, datain =10111001, dataout =01101100 
simtime = 1766, datain =10111010, dataout =01010110 
simtime = 1770, datain =10111011, dataout =11110100 
simtime = 1774, datain =10111100, dataout =11101010 
simtime = 1778, datain =10111101, dataout =01100101 
simtime = 1782, datain =10111110, dataout =01111010 
simtime = 1786, datain =10111111, dataout =10101110 
simtime = 1790, datain =11000000, dataout =00001000 
simtime = 1794, datain =11000001, dataout =10111010 
simtime = 1798, datain =11000010, dataout =01111000 
simtime = 1802, datain =11000011, dataout =00100101 
simtime = 1806, datain =11000100, dataout =00101110 
simtime = 1810, datain =11000101, dataout =00011100 
simtime = 1814, datain =11000110, dataout =10100110 
simtime = 1818, datain =11000111, dataout =10110100 
simtime = 1822, datain =11001000, dataout =11000110 
simtime = 1826, datain =11001001, dataout =11101000 
simtime = 1830, datain =11001010, dataout =11011101 
simtime = 1834, datain =11001011, dataout =01110100 
simtime = 1838, datain =11001100, dataout =00011111 
simtime = 1842, datain =11001101, dataout =01001011 
simtime = 1846, datain =11001110, dataout =10111101 
simtime = 1850, datain =11001111, dataout =10001011 
simtime = 1854, datain =11010000, dataout =10001010 
simtime = 1858, datain =11010001, dataout =01110000 
simtime = 1862, datain =11010010, dataout =00111110 
simtime = 1866, datain =11010011, dataout =10110101 
simtime = 1870, datain =11010100, dataout =01100110 
simtime = 1874, datain =11010101, dataout =01001000 
simtime = 1878, datain =11010110, dataout =00000011 
simtime = 1882, datain =11010111, dataout =11110110 
simtime = 1886, datain =11011000, dataout =00001110 
simtime = 1890, datain =11011001, dataout =01100001 
simtime = 1894, datain =11011010, dataout =00110101 
simtime = 1898, datain =11011011, dataout =01010111 
simtime = 1902, datain =11011100, dataout =10111001 
simtime = 1906, datain =11011101, dataout =10000110 
simtime = 1910, datain =11011110, dataout =11000001 
simtime = 1914, datain =11011111, dataout =00011101 
simtime = 1918, datain =11100000, dataout =10011110 
simtime = 1922, datain =11100001, dataout =11100001 
simtime = 1926, datain =11100010, dataout =11111000 
simtime = 1930, datain =11100011, dataout =10011000 
simtime = 1934, datain =11100100, dataout =00010001 
simtime = 1938, datain =11100101, dataout =01101001 
simtime = 1942, datain =11100110, dataout =11011001 
simtime = 1946, datain =11100111, dataout =10001110 
simtime = 1950, datain =11101000, dataout =10010100 
simtime = 1954, datain =11101001, dataout =10011011 
simtime = 1958, datain =11101010, dataout =00011110 
simtime = 1962, datain =11101011, dataout =10000111 
simtime = 1966, datain =11101100, dataout =11101001 
simtime = 1970, datain =11101101, dataout =11001110 
simtime = 1974, datain =11101110, dataout =01010101 
simtime = 1978, datain =11101111, dataout =00101000 
simtime = 1982, datain =11110000, dataout =11011111 
simtime = 1986, datain =11110001, dataout =10001100 
