Vivado Simulator 2018.3
Time resolution is 1 ps
simtime = 222, datain =11011110, dataout =11011011 
simtime = 223, datain =11011111, dataout =10111000 
simtime = 224, datain =11100000, dataout =01100011 
simtime = 225, datain =11100001, dataout =01100011 
simtime = 226, datain =11100010, dataout =10111000 
simtime = 227, datain =11100011, dataout =00100001 
simtime = 228, datain =11100100, dataout =01100011 
simtime = 229, datain =11100101, dataout =01100000 
simtime = 230, datain =11100110, dataout =00011010 
simtime = 231, datain =11100111, dataout =11101111 
simtime = 232, datain =11101000, dataout =10001011 
simtime = 233, datain =11101001, dataout =11110001 
simtime = 234, datain =11101010, dataout =11011111 
simtime = 235, datain =11101011, dataout =00011010 
simtime = 236, datain =11101100, dataout =11001110 
simtime = 237, datain =11101101, dataout =01100011 
simtime = 238, datain =11101110, dataout =00110000 
simtime = 239, datain =11101111, dataout =11101100 
simtime = 240, datain =11110000, dataout =01000010 
simtime = 241, datain =11110001, dataout =11101011 
simtime = 242, datain =11110010, dataout =01110110 
simtime = 243, datain =11110011, dataout =11101011 
simtime = 244, datain =11110100, dataout =10111111 
simtime = 245, datain =11110101, dataout =11110110 
simtime = 246, datain =11110110, dataout =01100100 
simtime = 247, datain =11110111, dataout =10101110 
simtime = 248, datain =11111000, dataout =10101001 
simtime = 249, datain =11111001, dataout =11101100 
simtime = 250, datain =11111010, dataout =01100011 
simtime = 251, datain =11111011, dataout =10001111 
simtime = 252, datain =11111100, dataout =01010000 
simtime = 253, datain =11111101, dataout =01110010 
simtime = 254, datain =11111110, dataout =10111011 
simtime = 255, datain =11111111, dataout =00010110 
simtime = 256, datain =00000000, dataout =01100011 
